trial_id,N_loc,sigma_bar,success,rmse_ee,total_cost,solve_time_mean_ms,solve_time_p95_ms,slack_inf_max,slack_inf_mean,local_gate_fail,cond_gate_fail,Kopt_mean,Kopt_p95
15,200,0.3,1,0.049932961170790796,0.0431131936731918,226.67140525241848,353.29152502818033,0.002178915799375993,0.0001446878112667635,5,0,103.3075,113.04999999999995
16,200,0.4,1,0.06710637680616714,0.07519033423159448,312.09751524875173,530.9295350452885,0.0010983325149213886,0.00011834471297688477,3,0,154.18,172.0
17,200,0.45,1,0.050388260586464194,0.0437010243244387,295.4836455039913,439.8127450083848,0.0006601364933178433,0.00010829278728365886,4,0,176.5775,189.0
18,200,0.5,1,0.06862306897231171,0.07830081383178218,299.6437227498973,474.3259200011375,0.0007979433751980299,0.00010981442820394949,2,0,201.565,229.0
19,200,0.55,1,0.05107060203921516,0.04455463077225071,330.1625904996763,632.0495650055817,0.006025446153162655,0.0001719710977069164,3,0,226.8725,247.0
20,200,0.6,1,0.059213106005791764,0.058891282588439786,324.27394024591194,685.1117699756286,0.005325328121663746,0.0001593590228898945,3,0,256.3375,293.04999999999995
21,200,0.65,1,0.05806915186765481,0.05666844162925594,262.00097899563843,599.9001849791966,0.0014385845026689765,0.00010093151887501721,4,0,283.96,331.2999999999997
22,200,0.7,1,0.061492312600746835,0.0631230360443952,296.4663785009179,757.7292150061102,0.003944176025831653,0.00016742173264620134,3,0,315.245,356.04999999999995
23,200,0.8,1,0.05739584556866158,0.05535306652139425,302.26561924879206,921.1710650124587,0.00861052327332864,0.0003705762652940468,3,0,383.4525,467.14999999999986
24,200,1.0,1,0.07182265887719799,0.08485335698728903,82.0729600006598,148.57444507651962,0.0004930351507083841,0.0001240907267765003,2,1,580.0575719649562,736.1999999999998
25,200,2.0,1,0.04118953415220371,0.03033377694471468,220.86707474809373,335.69412999786414,0.0006775484769913904,0.00010544265416797857,2,398,198.2636815920398,180.0
26,200,5.0,1,0.04750127222875112,0.03955619744195596,219.07956999813905,326.8183250038414,0.005316449163012334,0.00011983258686147222,4,400,180.0,180.0
27,500,0.2,1,0.04019373023493323,0.029141567391365076,178.13390049879672,249.5478949975222,0.0023879800068790915,0.0002205453961795096,7,0,68.47,77.0
28,500,0.3,1,0.049932961170790796,0.0431131936731918,227.2308405014337,352.23561998573126,0.002178915799375993,0.0001446878112667635,5,0,103.3075,113.04999999999995
