sigma_y,seed,method,K,success,success_reached,fall_down,time_to_upright,fail_step,upright_fraction,longest_upright_streak,fail_practical,infeasible_step_rate,fallback_episode,avg_solve_time,mean_K_used,max_K_used,mean_lambda_min,mean_tau,mean_d90,mean_C_size
0.08,9,unified_a001,40,1,1,0,19,-1,0.9666666666666667,234,1,1.0,1.0,0.1456701794266913,47.14333333333333,89.0,2.14516024278967,12.506232520468986,61.74385301504903,577.0
0.08,10,fixedK40,40,0,1,1,19,100,0.4266666666666667,81,1,1.0,1.0,0.1209077707899875,40.0,40.0,3.6558754001975453,nan,nan,nan
0.08,10,unified_a001,40,0,1,1,19,116,0.35,39,1,0.9966666666666667,1.0,0.12476946596000138,42.73,77.0,4.596809980497722,25.835000212980745,71.69946640384731,577.0
0.08,11,fixedK40,40,0,1,1,19,71,0.5666666666666667,108,1,1.0,1.0,0.1269228337733451,40.0,40.0,2.870665966064953,nan,nan,nan
0.08,11,unified_a001,40,0,1,1,19,66,0.31,27,1,1.0,1.0,0.12673520346997671,42.586666666666666,79.0,3.380337599214564,26.953728638784746,71.17847375985131,577.0
0.08,12,fixedK40,40,1,1,0,19,-1,0.9866666666666667,162,1,1.0,1.0,0.13901828085667756,40.0,40.0,1.3662900378079899,nan,nan,nan
0.08,12,unified_a001,40,1,1,0,19,-1,0.98,294,1,1.0,1.0,0.16040921210003642,49.096666666666664,80.0,1.0312703757944628,12.983694795654543,59.85626906321411,577.0
0.08,13,fixedK40,40,0,1,1,19,255,0.7266666666666667,99,1,1.0,1.0,0.1383465412200106,40.0,40.0,1.7205506322232986,nan,nan,nan
0.08,13,unified_a001,40,0,1,1,19,167,0.5933333333333334,159,1,1.0,1.0,0.14735682818334378,46.38333333333333,80.0,2.6578766903210287,21.73250741364823,69.05477271380875,577.0
0.08,14,fixedK40,40,1,1,0,19,-1,0.9166666666666666,131,1,1.0,1.0,0.14059938014997594,40.0,40.0,1.7172919761339744,nan,nan,nan
0.08,14,unified_a001,40,0,1,1,19,152,0.5133333333333333,60,1,1.0,1.0,0.1398883402599889,44.223333333333336,78.0,2.964068696828137,22.682797069469263,68.38522596620355,577.0
0.08,15,fixedK40,40,0,1,1,19,107,0.6458333333333334,100,1,1.0,1.0,0.13764723369789542,40.0,40.0,2.1668504959322887,nan,nan,nan
0.08,15,unified_a001,40,0,1,1,19,130,0.56,121,1,0.9966666666666667,1.0,0.14382157366000986,46.406666666666666,89.0,2.6659889105474077,22.357846577895845,70.69631837467799,577.0
0.08,16,fixedK40,40,0,1,1,19,211,0.6233333333333333,163,1,1.0,1.0,0.1279310682233275,40.0,40.0,3.237060874292068,nan,nan,nan
0.08,16,unified_a001,40,1,1,0,19,-1,0.93,211,1,1.0,1.0,0.15774542444332837,47.473333333333336,80.0,1.7915611954450794,12.746018094385285,62.04952389830861,577.0
0.08,17,fixedK40,40,0,1,1,19,116,0.5288461538461539,42,1,1.0,1.0,0.13137527844711572,40.0,40.0,4.836183476115429,nan,nan,nan
0.08,17,unified_a001,40,0,1,1,19,58,0.48120300751879697,42,1,1.0,1.0,0.13685570708268396,45.203007518796994,68.0,3.5595271631202396,24.03419902587723,71.33450642380572,577.0
