K,seed,t,sigma_min_Mk,solve_ms,slack_inf,status
710,3,69,0.23772986672462115,48.48570004105568,0.1647890937063517,optimal
710,3,70,0.21822339846491293,66.33440009318292,0.028305345983044693,optimal
710,3,71,0.22444450168391353,42.961400002241135,1.7171408802996804,optimal
710,3,72,0.22172077006651014,68.56719986535609,0.02985192513805748,optimal
710,3,73,0.24064959270518355,57.06720007583499,1.3751948957914908,optimal
710,3,74,0.22124026401585864,41.05309979058802,0.8189833070256847,optimal
710,3,75,0.22071025558907229,53.98819991387427,0.6758582744832642,optimal
710,3,76,0.22512442949038627,38.80070010200143,0.40926498252909915,optimal
710,3,77,0.22378328252364074,58.45519993454218,0.008439426769710672,optimal
710,3,78,0.24081457053568167,86.84600004926324,0.015609993402631101,user_limit
710,3,79,0.21803597586180884,49.87909994088113,0.04920482405783219,optimal
710,3,80,0.21835596472784446,36.62349982187152,0.0699022467351759,optimal
710,3,81,0.21069872858838393,62.71949992515147,0.007073727292806842,optimal
710,3,82,0.20594532302185262,43.907699873670936,0.004321257932416349,optimal
710,3,83,0.22819044394184462,69.91930003277957,0.04085699942111595,optimal
710,3,84,0.23056116850316502,62.376099871471524,0.0037297939372960705,optimal
710,3,85,0.23599448573163875,75.34509990364313,0.04488092407877438,optimal
710,3,86,0.21273936723575396,49.450699938461185,0.0036039933285827775,optimal
710,3,87,0.24394636085206425,73.99740000255406,0.01753220108161137,optimal
710,3,88,0.21621793732992634,54.19799988158047,2.5407712152133453,optimal
710,3,89,0.2300716553812345,47.01439989730716,1.3547519284935037,optimal
710,3,90,0.23287522290733637,90.02250013872981,0.06595178661415485,optimal_inaccurate
710,3,91,0.21062896311838653,86.83319995179772,0.48976951916052824,optimal_inaccurate
710,3,92,0.20488422325026928,88.9663000125438,1.0862805383785077,optimal_inaccurate
710,3,93,0.22746768871632964,87.28419989347458,0.13353549177132334,optimal_inaccurate
710,3,94,0.21846787761801387,55.61950011178851,0.02328555832953687,optimal
710,3,95,0.22483529856319745,70.82500006072223,0.00857769596320562,optimal
710,3,96,0.2241100231389947,57.23989987745881,0.0004602665213108591,optimal
710,3,97,0.21729973426944993,67.80229997821152,0.008016493206320871,optimal
710,3,98,0.2331416204902734,53.81920002400875,0.008711997237196574,optimal
710,3,99,0.2297548412087642,66.32489990442991,0.012353461878260783,optimal
710,3,100,0.2247010819064456,86.92310005426407,0.004706796925871714,optimal_inaccurate
710,3,101,0.22191876459889998,56.105999974533916,0.004519829496485009,optimal
710,3,102,0.21262090445250503,86.67930006049573,0.012009214947184427,optimal_inaccurate
710,3,103,0.2353699025674427,46.22290004044771,0.2584663141044722,optimal
710,3,104,0.20731890503661948,47.69890010356903,0.031680931197758805,optimal
710,3,105,0.2147509220629171,49.704400124028325,0.03862100728631966,optimal
710,3,106,0.21591204540080378,88.64519977942109,1.3383123028098813,optimal_inaccurate
710,3,107,0.22826114810931986,48.13829995691776,0.0006439822908648981,optimal
710,3,108,0.233532604960866,56.16019992157817,0.7086295029488634,optimal
710,3,109,0.2228512886021674,83.50539999082685,1.4610865793222492,optimal
710,3,110,0.21508842512157153,80.37519990466535,0.025196251242662393,optimal
710,3,111,0.1888396147175695,64.11919998936355,0.043698459123410624,optimal
710,3,112,0.2067733783416705,46.613600105047226,0.06680930345265854,optimal
710,3,113,0.22369110709956158,41.90269997343421,0.12896241216447266,optimal
710,3,114,0.1888396147175695,41.09990014694631,0.01596035443475208,optimal
710,3,115,0.2369160775919825,101.95289994589984,0.005742423663714188,optimal_inaccurate
710,3,116,0.20784860353652634,75.42250002734363,0.050439120187381614,optimal
710,3,117,0.20848848911537865,55.279899854213,0.0030616724658709474,optimal
710,3,118,0.2161626145365208,55.75850000604987,0.010185749899817364,optimal
710,3,119,0.21060145202263603,41.961400071159005,0.26200752793648124,optimal
710,3,120,0.22378696750527693,67.25679989904165,0.05586118250963089,optimal
710,3,121,0.23997642614929243,51.02349980734289,1.3181411606515907,optimal
710,3,122,0.22032349245194316,87.65119989402592,1.4438116854331307,user_limit
710,3,123,0.23906112161944354,46.294699888676405,0.683217456231469,optimal
710,3,124,0.21505044402995632,48.79060015082359,0.03896505557309472,optimal
710,3,125,0.20315042720051682,41.24920000322163,0.033942426640408196,optimal
710,3,126,0.22534765800122616,46.548400074243546,0.03824309154453248,optimal
710,3,127,0.23089480018303377,88.7994000222534,0.37586753510724485,user_limit
710,3,128,0.21212949001029696,42.71470010280609,1.0780387618958542,optimal
710,3,129,0.23641260840896683,51.821199944242835,0.026630925016302646,optimal
710,3,130,0.22624838657995433,49.230500124394894,0.05034059223730471,optimal
710,3,131,0.2310749455856031,48.10169991105795,0.01784640334997077,optimal
710,3,132,0.21416977568480294,49.631400033831596,0.06337711627340259,optimal
710,3,133,0.19987204919685939,56.43040011636913,0.015555397801448045,optimal
710,3,134,0.23088831231759502,82.5942000374198,0.0017925573426094236,optimal
710,3,135,0.23501865149446957,75.01239981502295,0.02758311260879951,optimal
710,3,136,0.22879264237928765,46.591800171881914,0.013238630300651427,optimal
710,3,137,0.201509568895303,60.87899999693036,0.035102075173273156,optimal
710,3,138,0.20997700644914746,48.46520000137389,0.005947741623797828,optimal
710,3,139,0.20406280131279136,79.83639999292791,0.017923767187030225,optimal
710,3,140,0.22192118941048156,51.41149996779859,0.013872910355199783,optimal
710,3,141,0.23653065698077555,62.3052001465112,0.0057360032038485855,optimal
710,3,142,0.22086341800834533,78.76309985294938,0.10422387565586692,optimal
710,3,143,0.2408236216711523,61.97530007921159,0.9807566902030436,optimal
710,3,144,0.22640715618370433,56.07989989221096,0.030258053353355196,optimal
710,3,145,0.23451945624299853,59.82700013555586,0.09988446373919656,optimal
710,3,146,0.22665048976122162,41.00080020725727,0.0937372193782022,optimal
710,3,147,0.232031799983846,68.07529996149242,1.7017265015928698,optimal
710,3,148,0.2443801054311517,91.5619998704642,3.5638839945958853,user_limit
710,3,149,0.2283294463369585,83.37099989876151,3.82215251346004,optimal
710,3,150,0.21840270466137213,48.31059998832643,1.4099246764328894,optimal
710,3,151,0.227165513098643,53.0328000895679,1.6658455366716969,optimal
710,3,152,0.21690489549626507,40.770099963992834,0.968395764392743,optimal
710,3,153,0.22148125287995393,68.92720004543662,0.8291572249694481,optimal
710,3,154,0.22481931117867912,58.58180020004511,1.8816392405810858,optimal
710,3,155,0.22822782525232418,56.48119980469346,0.49942471590285487,optimal
710,3,156,0.21197806380591158,61.82989990338683,0.013625230430936653,optimal
710,3,157,0.21981545903228572,75.7846999913454,2.1447086747025823,optimal
710,3,158,0.21484885291355615,53.06280008517206,0.24821334892341676,optimal
710,3,159,0.21814963225023462,35.22889991290867,0.11585660364037234,optimal
710,3,160,0.2201141749312683,72.97410001046956,0.015320862286405777,optimal
710,3,161,0.2161664046323022,35.20460007712245,0.2085571959524939,optimal
710,3,162,0.22514466234689923,42.05079982057214,1.6166246198903267,optimal
710,3,163,0.2415869832513411,55.020400090143085,0.1608433163568015,optimal
710,3,164,0.21671474615887323,52.1811000071466,1.2311046833521684,optimal
710,3,165,0.21934220255962047,58.57350002042949,0.1415012380239098,optimal
710,3,166,0.22045146944264798,58.43019997701049,0.4208473991603408,optimal
710,3,167,0.22484410156618959,45.072600012645125,0.035383856789749785,optimal
710,3,168,0.2190190916466134,46.41700000502169,0.6677106200553886,optimal
710,3,169,0.2189912858545818,37.5167999882251,3.0177978555897353,optimal
710,3,170,0.22235282273446708,91.80629998445511,2.504735127261914,user_limit
710,3,171,0.20556465473093125,60.77140010893345,1.2052024730329338,optimal
710,3,172,0.2342369285519076,87.71079988218844,0.050881648978959096,optimal_inaccurate
710,3,173,0.23275631581305542,68.69320012629032,0.015474895052221051,optimal
710,3,174,0.22440882800081882,64.49500005692244,0.0003873465524510609,optimal
710,3,175,0.23679841087788178,67.59519991464913,0.011933568981220655,optimal
710,3,176,0.23935185045126517,85.36689984612167,0.001156317770661028,optimal
710,3,177,0.2309149779250925,51.76699999719858,0.014893847613619357,optimal
710,3,178,0.23714724799891665,66.01530010811985,2.7658678691494614,optimal
710,3,179,0.20535770563346697,92.86460001021624,0.03151061761635099,optimal_inaccurate
710,3,180,0.24130153973697197,90.17929993569851,0.00972726427767508,optimal
710,3,181,0.22982252520150093,56.22179992496967,0.002446576079074396,optimal
710,3,182,0.22985497844981986,79.79929982684553,0.015370293273655005,optimal
710,3,183,0.22805897731038813,46.98129999451339,0.010238975619563526,optimal
710,3,184,0.24106380024320156,47.873400151729584,0.01426758901999313,optimal
710,3,185,0.21422998588691394,88.44940015114844,0.045512529153072585,optimal_inaccurate
710,3,186,0.21297395244427889,48.80059999413788,0.05239175309450369,optimal
