sigma_y,seed,method,success,success_reached,fall_down,time_to_upright,fail_step,avg_solve_time,mean_K_used,max_K_used,certificate_rate,mean_tau,mean_d90,mean_C_size,upright_fraction,longest_upright_streak,fall_event_count,local_min_cands,local_max_cands
0.03,14,fixedK40,1,1,0,86,-1,0.1107799505933508,40.0,40.0,nan,nan,nan,nan,0.7766666666666666,233,0,100,1000
0.03,14,unified_a001,0,1,1,73,196,0.11648575847335148,46.516666666666666,85.0,1.0,21.32196259155838,70.23395088586365,577.0,0.47,135,2,100,1000
0.03,15,fixedK40,0,1,1,87,205,0.11086290845925625,40.0,40.0,nan,nan,nan,nan,0.5222222222222223,96,4,100,1000
0.03,15,unified_a001,1,1,0,54,-1,0.12093578554658355,45.06666666666667,75.0,1.0,25.83546789074577,69.72348877223169,577.0,0.4533333333333333,34,1,100,1000
0.03,16,fixedK40,1,1,0,138,-1,0.11030029570332166,40.0,40.0,nan,nan,nan,nan,0.52,156,1,100,1000
0.03,16,unified_a001,0,1,1,139,261,0.12614966813334527,49.2,80.0,1.0,24.413143248234984,68.93221104643804,577.0,0.45,133,2,100,1000
0.03,17,fixedK40,1,1,0,237,-1,0.10056268844335439,40.0,40.0,nan,nan,nan,nan,0.3,82,2,100,1000
0.03,17,unified_a001,0,0,0,300,-1,0.0972816769462414,40.59139784946237,75.0,1.0,34.469771236801634,79.14348531368428,577.0,0.05913978494623656,11,1,100,1000
0.03,18,fixedK40,1,1,0,70,-1,0.11460289031002503,40.0,40.0,nan,nan,nan,nan,0.83,249,0,100,1000
0.03,18,unified_a001,0,1,1,62,77,0.11467206881590203,44.5771144278607,85.0,1.0,19.50104052973796,68.65815395124594,577.0,0.4577114427860697,67,2,100,1000
0.03,19,fixedK40,0,1,1,61,138,0.09964521154000977,40.0,40.0,nan,nan,nan,nan,0.29333333333333333,88,1,100,1000
0.03,19,unified_a001,1,1,0,90,-1,0.15424791384664785,56.18333333333333,85.0,1.0,16.079107351178536,62.109598593318196,577.0,0.7766666666666666,224,2,100,1000
0.03,20,fixedK40,1,1,0,74,-1,0.11747428219000842,40.0,40.0,nan,nan,nan,nan,0.75,225,1,100,1000
0.03,20,unified_a001,0,0,0,300,-1,0.09355014180998902,41.05,70.0,1.0,29.67851884661552,77.87318388547287,577.0,0.04,9,1,100,1000
0.03,21,fixedK40,0,1,1,68,94,0.10340217246331122,40.0,40.0,nan,nan,nan,nan,0.36666666666666664,71,3,100,1000
0.03,21,unified_a001,1,1,0,118,-1,0.14364759791332593,55.016666666666666,85.0,1.0,18.42891521176547,65.44872898946633,577.0,0.69,201,1,100,1000
0.03,22,fixedK40,1,1,0,59,-1,0.11217712892333111,40.0,40.0,nan,nan,nan,nan,0.8666666666666667,260,0,100,1000
0.03,22,unified_a001,1,1,0,56,-1,0.1489557119200193,56.15,90.0,1.0,11.173857463402499,61.28298816265907,577.0,0.8766666666666667,263,0,100,1000
0.03,23,fixedK40,1,1,0,96,-1,0.10670966724332477,40.0,40.0,nan,nan,nan,nan,0.7433333333333333,223,0,100,1000
0.03,23,unified_a001,1,1,0,138,-1,0.13704244833668477,54.56666666666667,80.0,1.0,17.46860161796106,65.59401693188659,577.0,0.6566666666666666,181,2,100,1000
0.03,24,fixedK40,0,1,1,84,274,0.10777337667997927,40.0,40.0,nan,nan,nan,nan,0.6666666666666666,200,1,100,1000
0.03,24,unified_a001,0,1,1,70,98,0.10886444111007222,42.9,85.0,1.0,25.96782638125257,72.30510947120628,577.0,0.30333333333333334,44,3,100,1000
0.03,25,fixedK40,1,1,0,52,-1,0.11422457456000909,40.0,40.0,nan,nan,nan,nan,0.89,267,0,100,1000
0.03,25,unified_a001,0,1,1,51,124,0.12296198323998093,46.11666666666667,85.0,1.0,18.89462581602532,68.65848866443638,577.0,0.5566666666666666,85,2,100,1000
0.03,26,fixedK40,0,1,1,54,163,0.1092358952800411,40.0,40.0,nan,nan,nan,nan,0.4533333333333333,118,1,100,1000
0.03,26,unified_a001,0,1,1,115,211,0.11531458389994743,44.03333333333333,85.0,1.0,23.829138035658957,70.98433939287956,577.0,0.4066666666666667,108,2,100,1000
0.03,27,fixedK40,0,1,1,58,195,0.10353228706997773,40.0,40.0,nan,nan,nan,nan,0.4866666666666667,146,1,100,1000
0.03,27,unified_a001,1,1,0,96,-1,0.13753885974332056,54.38333333333333,80.0,1.0,13.099027496316204,63.98725411004523,577.0,0.7433333333333333,223,0,100,1000
0.03,28,fixedK40,0,1,1,104,235,0.10622415277335373,40.0,40.0,nan,nan,nan,nan,0.45666666666666667,126,2,100,1000
0.03,28,unified_a001,0,0,0,300,-1,0.09112526529649043,40.39525691699605,70.0,1.0,32.976407990441125,80.60011923764256,577.0,0.05533596837944664,11,2,100,1000
0.03,29,fixedK40,1,1,0,82,-1,0.11403153653330264,40.0,40.0,nan,nan,nan,nan,0.8166666666666667,237,1,100,1000
0.03,29,unified_a001,0,1,1,77,180,0.12092744401334736,46.75,90.0,1.0,17.760855888643675,68.2795883080835,577.0,0.5733333333333334,107,1,100,1000
0.03,30,fixedK40,0,0,0,300,-1,0.09479026839373661,40.0,40.0,nan,nan,nan,nan,0.13385826771653545,12,2,100,1000
0.03,30,unified_a001,0,1,1,57,89,0.11597430438515353,44.932432432432435,75.0,1.0,26.343842027523,74.31994491558625,577.0,0.31756756756756754,43,2,100,1000
0.03,31,fixedK40,0,1,1,51,97,0.11647858136669433,40.0,40.0,nan,nan,nan,nan,0.6733333333333333,144,1,100,1000
0.03,31,unified_a001,1,1,0,71,-1,0.1454620405833248,56.7,80.0,1.0,10.637592290134856,61.369911030313695,577.0,0.85,248,1,100,1000
0.03,32,fixedK40,0,1,1,117,124,0.0985411281428552,40.0,40.0,nan,nan,nan,nan,0.17063492063492064,20,4,100,1000
0.03,32,unified_a001,0,1,1,140,148,0.09786734760334487,41.28333333333333,80.0,1.0,31.252640010502013,76.6946526422884,577.0,0.13,22,2,100,1000
0.03,33,fixedK40,0,1,1,68,208,0.10828616106665322,40.0,40.0,nan,nan,nan,nan,0.5433333333333333,149,1,100,1000
0.03,33,unified_a001,0,1,1,65,90,0.12082387748003082,48.6,85.0,1.0,22.544607163574643,70.23655958826565,577.0,0.45,91,2,100,1000
0.03,34,fixedK40,0,1,1,63,79,0.1078155075689712,40.0,40.0,nan,nan,nan,nan,0.3103448275862069,27,3,100,1000
0.03,34,unified_a001,1,1,0,212,-1,0.11963628429997698,48.0,80.0,1.0,25.595995748489806,70.8134983617489,577.0,0.43666666666666665,107,2,100,1000
0.03,35,fixedK40,0,0,0,300,-1,0.09548951400002637,40.0,40.0,nan,nan,nan,nan,0.09090909090909091,15,2,100,1000
0.03,35,unified_a001,0,1,1,194,203,0.09968895113002266,41.583333333333336,75.0,1.0,28.79262413899144,75.14616543386384,577.0,0.11333333333333333,21,2,100,1000
0.03,36,fixedK40,1,1,0,80,-1,0.11227784040334579,40.0,40.0,nan,nan,nan,nan,0.7966666666666666,239,0,100,1000
0.03,36,unified_a001,1,1,0,74,-1,0.15808425959001093,58.61666666666667,80.0,1.0,13.468820804078627,60.26374370712154,577.0,0.8166666666666667,245,0,100,1000
0.03,37,fixedK40,1,1,0,65,-1,0.11786074167000758,40.0,40.0,nan,nan,nan,nan,0.8466666666666667,254,0,100,1000
0.03,37,unified_a001,0,1,1,183,213,0.10938946058997014,43.25,80.0,1.0,26.783042458175807,72.16106582715008,577.0,0.29,48,1,100,1000
